country,id,monetary,units,date,New_id,Last_Purchase_date
IN,2084478,985.68,1,4/6/2020,IN2084478,10/12/2020
IN,2090898,578.04,1,3/16/2020,IN2090898,11/23/2020
IN,2090898,1933.26,2,3/23/2020,IN2090898,11/23/2020
IN,2091066,4877.52,5,3/23/2020,IN2091066,10/26/2020
IN,2093526,975.48,1,3/9/2020,IN2093526,11/23/2020
IN,2093526,4877.52,5,3/16/2020,IN2093526,11/23/2020
IN,2093526,3902.04,4,3/23/2020,IN2093526,11/23/2020
IN,2093526,7328.1,6,3/23/2020,IN2093526,11/23/2020
IN,2093526,12213.54,10,3/30/2020,IN2093526,11/23/2020
IN,2094054,1211.1,1,3/30/2020,IN2094054,11/2/2020
IN,2095704,3922.68,4,3/30/2020,IN2095704,11/23/2020
IN,2095704,1215.78,1,3/9/2020,IN2095704,11/23/2020
IN,2095704,6078.84,5,3/16/2020,IN2095704,11/23/2020
IN,2095704,6078.84,5,3/23/2020,IN2095704,11/23/2020
IN,2095704,2431.56,2,3/30/2020,IN2095704,11/23/2020
IN,2095704,3647.28,3,4/6/2020,IN2095704,11/23/2020
IN,2096640,1936.5,2,3/16/2020,IN2096640,10/5/2020
IN,2096640,968.22,1,3/30/2020,IN2096640,10/5/2020
IN,2096982,12213.54,10,3/16/2020,IN2096982,10/5/2020
IN,2096982,12213.54,10,3/23/2020,IN2096982,10/5/2020
IN,2100948,975.48,1,3/16/2020,IN2100948,11/23/2020
IN,2100948,7328.1,6,3/9/2020,IN2100948,11/23/2020
IN,2100948,8549.46,7,3/16/2020,IN2100948,11/23/2020
IN,2101596,985.68,1,3/30/2020,IN2101596,11/23/2020
IN,2104542,4877.52,5,3/9/2020,IN2104542,3/9/2020
IN,2104890,11828.04,12,3/30/2020,IN2104890,3/30/2020
IN,2110662,1931.88,2,3/16/2020,IN2110662,11/23/2020
IN,2111100,11501.7,6,3/9/2020,IN2111100,11/30/2020
IN,2111100,11501.7,6,3/16/2020,IN2111100,11/30/2020
IN,2111100,17252.58,9,3/23/2020,IN2111100,11/30/2020
IN,2111100,5810.04,3,3/30/2020,IN2111100,11/30/2020
IN,2111100,3873.36,2,4/6/2020,IN2111100,11/30/2020
IN,2111100,1829.04,5,3/9/2020,IN2111100,11/30/2020
IN,2111100,1829.04,5,3/16/2020,IN2111100,11/30/2020
IN,2111100,2926.44,8,3/23/2020,IN2111100,11/30/2020
